day,month,year,precip_amount_mm
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0.7
1,1,2023,0.1
1,1,2023,0.2
1,1,2023,0.4
1,1,2023,0.1
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
1,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
2,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0
3,1,2023,0.4
3,1,2023,0.1
3,1,2023,0
3,1,2023,0.6
3,1,2023,0.1
3,1,2023,0
3,1,2023,0
3,1,2023,0.3
3,1,2023,1.3
3,1,2023,0.3
4,1,2023,0.1
4,1,2023,0
4,1,2023,0
4,1,2023,0
4,1,2023,0
4,1,2023,0
4,1,2023,0.1
4,1,2023,0.4
4,1,2023,0
4,1,2023,0
4,1,2023,0
4,1,2023,0.6
4,1,2023,0
4,1,2023,0.1
4,1,2023,0.1
4,1,2023,0.1
4,1,2023,0.7
4,1,2023,3.2
4,1,2023,3.5
4,1,2023,6.4
4,1,2023,5.7
4,1,2023,0
4,1,2023,0
4,1,2023,0.1
5,1,2023,0.2
5,1,2023,0.1
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0.1
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0
5,1,2023,0.1
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
6,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
7,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
8,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0
9,1,2023,0.1
9,1,2023,0
9,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
10,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0.1
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
11,1,2023,0
12,1,2023,0
